Analysis,View,Markup type,Landmark,Definition
General PA Analysis,PA,Point,ag-R - antegonion (Right),The highest point in the antegonial notch on the right side.
General PA Analysis,PA,Point,ag-L - antegonion (Left),The highest point in the antegonial notch on the left side.
General PA Analysis,PA,Point,ANS - anterior nasal spine,The center of the intersection of the nasal septum and the palate.
General PA Analysis,PA,Point,cd/Con-R - condylar (Right),The most superior and the middle point on the contour of the right condyle head.
General PA Analysis,PA,Point,cd/Con-L - condylar (Left),The most superior and the middle point on the contour of the left condyle head.
General PA Analysis,PA,Point,Cg - Crista galli,The most superior and anterior points on the median ridge of the bone that projects upward from the cribriform plate of the ethmoid bone.
General PA Analysis,PA,Point,cor-R - coronoid (Right),The most superior point of the coronoid process on the right side.
General PA Analysis,PA,Point,cor-L - coronoid (Left),The most superior point of the coronoid process on the left side.
General PA Analysis,PA,Point,Go-R - Gonial point (Right),The most posterior inferior point of the right mandibular angle.
General PA Analysis,PA,Point,Go-L - Gonial point (Left),The most posterior inferior point of the left mandibular angle.
General PA Analysis,PA,Point,iif/L1M - Lower dental midline,The dental midline point of the incisal edge of the mandibular central incisor.
General PA Analysis,PA,Point,isf/U1M - Upper dental midline,The dental midline point of the incisal edge of the maxillary central incisor.
General PA Analysis,PA,Point,Jug-R - Jugal point (Right),The right intersection of the tuberosity of maxilla and zygomatic buttress.
General PA Analysis,PA,Point,Jug-L - Jugal point (Left),The left intersection of the tuberosity of maxilla and zygomatic buttress.
General PA Analysis,PA,Point,lm/L6MC-R - mandibular molar (Right),The most lateral cusp point of the right mandibular first molar crown.
General PA Analysis,PA,Point,lm/L6MC-L - mandibular molar (Left),The most lateral cusp point of the left mandibular first molar crown.
General PA Analysis,PA,Point,lo-R - latero-orbitale (Right),The intersection of the lateral orbital contour with the innominate line on the right side.
General PA Analysis,PA,Point,lo-L - latero-orbitale (Left),The intersection of the lateral orbital contour with the innominate line on the left side.
General PA Analysis,PA,Point,lpa-R - lateral piriform aperture (Right),The most lateral aspect of the piriform aperture on the right side.
General PA Analysis,PA,Point,lpa-L - lateral piriform aperture (Left),The most lateral aspect of the piriform aperture on the left side.
General PA Analysis,PA,Point,m - mandibular midpoint,"Located by projecting the mental spine on the lower mandibular border, perpendicular to the line ag-ag."
General PA Analysis,PA,Point,ma/Mst-R - mastoid process (Right),The most inferior point of the right mastoid process.
General PA Analysis,PA,Point,ma/Mst-L - mastoid process (Left),The most inferior point of the left mastoid process.
General PA Analysis,PA,Point,Me - Menton,The most inferior point of the symphysis of the mandible.
General PA Analysis,PA,Point,mf-R - mental foramen (Right),The centre of the mental foramen on the right side.
General PA Analysis,PA,Point,mf-L - mental foramen (Left),The centre of the mental foramen on the left side.
General PA Analysis,PA,Point,mo-R - medio-orbitale (Right),The point on the medial orbital margin that is closest to the median plane on the right side.
General PA Analysis,PA,Point,mo-L - medio-orbitale (Left),The point on the medial orbital margin that is closest to the median plane on the left side.
General PA Analysis,PA,Point,mx-R - maxillare (Right),The intersection of the lateral contour of the maxillary alveolar process and the lower contour of the maxillozygomatic process of the maxilla on the right side.
General PA Analysis,PA,Point,mx-L - maxillare (Left),The intersection of the lateral contour of the maxillary alveolar process and the lower contour of the maxillozygomatic process of the maxilla on the left side.
General PA Analysis,PA,Point,mzmf-R - zygomaticofrontal medial suture point-in (Right),Point at the medial margin of the zygomaticofrontal suture on the right side.
General PA Analysis,PA,Point,mzmf-L - zygomaticofrontal medial suture point-in (Left),Point at the medial margin of the zygomaticofrontal suture on the left side.
General PA Analysis,PA,Point,lzmf-R - zygomaticofrontal lateral suture point-out (Right),Point at the lateral margin of the zygomaticofrontal suture on the right side.
General PA Analysis,PA,Point,lzmf-L - zygomaticofrontal lateral suture point-out (Left),Point at the lateral margin of the zygomaticofrontal suture on the left side.
General PA Analysis,PA,Point,om - orbital midpoint,The projection on the line lo-lo of the top of the nasal septum at the base of the crista galli.
General PA Analysis,PA,Point,Sph-R - Sphenoid point (Right),The right intersection of sphenoid bone greater and lesser wing.
General PA Analysis,PA,Point,Sph-L - Sphenoid point (Left),The left intersection of sphenoid bone greater and lesser wing.
General PA Analysis,PA,Point,tns - top nasal septum,The highest point on the superior aspect of the nasal septum.
General PA Analysis,PA,Point,um/U6MC-R - maxillary molar (Right),The most lateral cusp point of the right maxillary first molar crown.
General PA Analysis,PA,Point,um/U6MC-L - maxillary molar (Left),The most lateral cusp point of the left maxillary first molar crown.
General PA Analysis,PA,Point,za-R - point zygomatic arch (Right),Point at the most lateral border of the centre of the zygomatic arch on the right side.
General PA Analysis,PA,Point,za-L - point zygomatic arch (Left),Point at the most lateral border of the centre of the zygomatic arch on the left side.
Ricketts PA,PA,Point,Z-R - Zygomaticofrontal (Right),The most internal (medial) point of the frontozygomatic suture on the right side.
Ricketts PA,PA,Point,Z-L - Zygomaticofrontal (Left),The most internal (medial) point of the frontozygomatic suture on the left side.
