Analysis,Markup type,Landmark,Definition,Refs,Norm mean,Norm SD
Bjork Analysis,Point,Ar-articulare,The point of intersection of the dorsal contours of processus articularis mandibulae and os temporale. The midpoint is used where double projection gives rise to two articulare points.,,,
Bjork Analysis,Point,dd,The most prominent point of the chin in the direction of measurement.,,,
Bjork Analysis,Point,gn-gnathion,The deepest point on the chin.,,,
Bjork Analysis,Point,id-infradentale,The point of transition from the crown of the most prominent mandibular medial incisor to the alveolar projection.,,,
Bjork Analysis,Point,ii-incision inferius,The incisal point of the most prominent medial mandibular incisor.,,,
Bjork Analysis,Point,is-incision superius,The incisal point of the most prominent medial maxillary incisor.,,,
Bjork Analysis,Point,kk,The point of intersection between the base and ramus tangents to the mandible. The midpoint is used where double projection gives rise to two points.,,,
Bjork Analysis,Point,mi,The mesial contact point of the lower molar projected normal to the plane of occlusion.,,,
Bjork Analysis,Point,ms,The mesial contact point of the upper molar projected normal to the plane of occlusion.,,,
Bjork Analysis,Point,N-nasion,Nasion is the most anterior point of the frontonasal suture in the middle.,,,
Bjork Analysis,Point,or-orbitale,The deepest point on the infraorbital margin. The midpoint is used where double projection gives rise to two points.,,,
Bjork Analysis,Point,pg-pogonion,The most prominent point on the chin.,,,
Bjork Analysis,Point,Po-porion,"Porion is the most superior point of the external auditory meatus (the superior margin of the TMJ fossa, which lies at the same level may be substitute in the construction of the FH).",,,
Bjork Analysis,Point,pr-prosthion,The transition point between the crown of the most prominent medial maxillary incisor and the alveolar projection.,,,
Bjork Analysis,Point,s,The center of sella turcica (the midpoint of the horizontal diameter).,,,
Bjork Analysis,Point,sm-supramentale,"The deepest point on the contour of the alveolar projection, between infradentale and pogonion.",,,
Bjork Analysis,Point,sp-the spinal point,The apex of spina nasalis anterior.,,,
Bjork Analysis,Point,snp-spina nasalis posterior,"The point of intersection of palatum posterior durum, palatum molle and fossa pterygopalatina.",,,
Bjork Analysis,Point,ss-subspinale,"The deepest point on the contour of the alveolar projection, between the spinal point and prosthion.",,,
Bjork Analysis,Point,io,"The incisal point of the most prominent medial mandibular incisor, projected normal to the plane of occlusion.",,,
Coben Craniofacial and Dentition,Point,A-point A (subspinale),The point at the deepest midline concavity on the maxilla between the anterior nasal spine and prosthion.,,,
Coben Craniofacial and Dentition,Point,Ans-anterior nasal spine,The most anterior point of the anterior nasal spine.,,,
Coben Craniofacial and Dentition,Point,Ar-articulare,The point of intersection of the images of the posterior border of the condylar process of the mandible and the inferior border of the basilar part of the occipital bone.,,,
Coben Craniofacial and Dentition,Point,B-point B (supramentale),The point at the deepest midline concavity on the mandibular symphysis between infradentale and pogonion.,,,
Coben Craniofacial and Dentition,Point,F - point F (constructed),"The point approximating foramen cecum representing the anatomic anterior limit of the cranial base, constructed as the point of intersection of a perpendicular to the S-N plane from the point of crossing of the images of the orbital roofs and the internal plate of the frontal bone.",,,
Coben Craniofacial and Dentition,Point,Go-gonion (constructed),The point of intersection of the ramus plane and the mandibular plane.,,,
Coben Craniofacial and Dentition,Point,M-menton,The most inferior midline point on the mandibular symphysis.,,,
Coben Craniofacial and Dentition,Point,N-nasion,Nasion is the most anterior point of the frontonasal suture in the middle.,,,
Coben Craniofacial and Dentition,Point,Or-orbitale,"The lowest point on the inferior margin of the orbit, midpoint between right and left images.",,,
Coben Craniofacial and Dentition,Point,Po-porion (anatomic),"The superior point of the externa-Lauditory meatus (superior margin of temporomandibular fossa, which lies at the same level, may be substituted in the construction of Frankfort horizontal).",,,
Coben Craniofacial and Dentition,Point,Pog-pogonion,The most anterior midline point of the mandibular symphysis.,,,
Coben Craniofacial and Dentition,Point,Po'-pogonion' (constructed),The point of tangency of a perpendicular from the mandibular plane to the most prominent convexity of the mandibular symphysis.,,,
Coben Craniofacial and Dentition,Point,Ptm-pterygomaxillary fissure,The point of intersection of the images of the anterior surface of the pterygoid process of the sphenoid bone and the posterior margin of the maxilla.,,,
Coben Craniofacial and Dentition,Point,S-sella,The point representing the geometric center of the pituitary fossa (sella turcica).,,,
Coben Craniofacial and Dentition,Point,Ul-maxillary central incisor (horizontal),The most labial point on the crown of the maxillary central incisor.,,,
Coben Craniofacial and Dentition,Point,Ul-maxillary central incisor (vertical),The incisal edge of the maxillary central incisor.,,,
Coben Craniofacial and Dentition,Point,L1-mandibular central incisor (horizontal),The most labial point on the crown of the mandibular central incisor.,,,
Coben Craniofacial and Dentition,Point,L1-mandibular central incisor (vertical),The incisal edge of the mandibular central incisor.,,,
Coben Craniofacial and Dentition,Point,U6-maxillary first molar (horizontal),The most distal point on the crown of the maxillary first permanent molar.,,,
Coben Craniofacial and Dentition,Point,U6-maxillary first molar (vertical),The tip of the mesiobuccal cusp of the maxillary first permanent molar.,,,
Coben Craniofacial and Dentition,Point,L6-mandibular first molar (horizontal),The most distal point on the crown of the mandibular first permanent molar.,,,
Coben Craniofacial and Dentition,Point,L6-mandibular first molar (vertical),The tip of the mesiobuccal cusp of the mandibular first permanent molar.,,,
Downs Analysis,Point,N-nasion,Nasion is the most anterior point of the frontonasal suture in the middle.,,,
Downs Analysis,Point,Bolton point,The highest point on the concavity behind the occipital condyles.,,,
Downs Analysis,Point,The centre of sella turcica,Located by inspection of the profile image of the fossa.,,,
Downs Analysis,Point,Orbitale,The lowest point on the left infraorbital margin.,,,
Downs Analysis,Point,Porion (cephalometric),The highest point on the superior surface of the soft tissue of the external auditory meati.,,,
Downs Analysis,Point,Pogonion,The most anterior point on the mandible in the midline.,,,
Downs Analysis,Point,A-subspinale,The deepest midline point on the premaxilla between the anterior nasal spine and prosthion.,,,
Downs Analysis,Point,B-supramentale,The deepest midline point on the mandible between infradentale and pogonion.,,,
Downs Analysis,Point,Gnathion,A point on the chin determined by bisecting the angle formed by the facial and mandibular planes.,,,
Farkas and Coworkers Soft Tissue,Point,Trichion (tr),Point on the hairline in the midline of the forehead.,,,
Farkas and Coworkers Soft Tissue,Point,Glabella (g),The most prominent midline point between the eyebrows.,,,
Farkas and Coworkers Soft Tissue,Point,Subnasion (n'),Deepest point of the nasofrontal angle.,,,
Farkas and Coworkers Soft Tissue,Point,Pronasale (prn),The most protruded point of the apex nasi.,,,
