Analysis,Markup type,Landmark,Definition,Refs,Norm mean,Norm SD
General Ceph Analysis,Angle,SNA,"Angle between Sella, Nasion, and Point A","S,N,A",82,2
General Ceph Analysis,Angle,SNB,"Angle between Sella, Nasion, and Point B","S,N,B",80,2
General Ceph Analysis,Angle,ANB,"Angle between Point A, Nasion, and Point B","A,N,B",2,2
General Ceph Analysis,Angle 4-pt,SN-GoMe,Angle between SN line and mandibular plane (Go-Me),"S,N,Go,Me",32,4
General Ceph Analysis,Angle 4-pt,SN-FH,Angle between SN line and Frankfort Horizontal (Po-Or),"S,N,Po,Or",7,3
General Ceph Analysis,Distance,Anterior facial height (N-Me),Distance from Nasion to Menton.,"N,Me",110,5
General Ceph Analysis,Distance,Posterior facial height (S-Go),Distance from Sella to Gonion.,"S,Go",75,5
Steiner Analysis,Angle,SNA,"Angle between Sella, Nasion, and Point A","S,N,A",82,2
Steiner Analysis,Angle,SNB,"Angle between Sella, Nasion, and Point B","S,N,B",80,2
Steiner Analysis,Angle,ANB,"Angle between Point A, Nasion, and Point B","A,N,B",2,2
Steiner Analysis,Angle 4-pt,SN-GoMe,Angle between SN line and mandibular plane (Go-Me),"S,N,Go,Me",32,4
Steiner Analysis,Angle 4-pt,Occlusal Plane-SN,Angle between occlusal plane (APOcc-PPOcc) and SN line.,"APOcc,PPOcc,S,N",14,4
Steiner Analysis,Angle 4-pt,SN-GoGn,Angle between SN line and mandibular plane (Go-Gn).,"S,N,Go,Gn",32,4
Steiner Analysis,Perp,U1-NA (mm),Distance from upper incisor tip to NA line.,"N,A,Is",4,2
Steiner Analysis,Angle 4-pt,U1-NA (°),Angle between upper incisor axis and NA line.,"Is,Ia,N,A",22,2
Steiner Analysis,Perp,L1-NB (mm),Distance from lower incisor tip to NB line.,"N,B,Ii",4,2
Steiner Analysis,Angle 4-pt,L1-NB (°),Angle between lower incisor axis and NB line.,"Ii,Iia,N,B",25,4
Steiner Analysis,Angle 4-pt,Interincisal angle,Angle between upper and lower incisor axes.,"Is,Ia,Ii,Iia",130,5
Steiner Analysis,Perp,Upper lip to S-line,Distance from upper lip to the S-line (Prn-Pog').,"Prn,Pog',UL",0,2
Steiner Analysis,Perp,Lower lip to S-line,Distance from lower lip to the S-line (Prn-Pog').,"Prn,Pog',LL",0,2
Ricketts Analysis,Angle 4-pt,Facial depth,Angle between FH (Po-Or) and facial plane (N-Pog),"Po,Or,N,Pog",87,3
Ricketts Analysis,Perp,Convexity,Distance from Point A to the facial plane (N-Pog).,"N,Pog,A",2,2
Ricketts Analysis,Angle 4-pt,SN-FH,Angle between SN line and Frankfort Horizontal,"S,N,Po,Or",7,3
Ricketts Analysis,Angle 4-pt,Facial axis,Angle between facial axis (PT-Gn) and Basion-Nasion plane.,"Ba,N,PT,Gn",90,3
Ricketts Analysis,Angle 4-pt,Mandibular plane angle,Angle between FH (Po-Or) and mandibular plane (Go-Me).,"Po,Or,Go,Me",26,4
Ricketts Analysis,Angle,Lower facial height,Angle between ANS-Xi-PM.,"ANS,Xi,PM",47,4
Ricketts Analysis,Angle,Mandibular arc,Angle of the mandibular arc (Xi-PM-DC).,"Xi,PM,DC",26,4
Ricketts Analysis,Perp,Lower incisor to A-Pog,Distance from lower incisor tip to the A-Pog line.,"A,Pog,Ii",1,2
Ricketts Analysis,Angle 4-pt,Interincisal angle,Angle between upper and lower incisor axes.,"Is,Ia,Ii,Iia",130,6
Ricketts Analysis,Perp,Upper lip to E-plane,Distance from upper lip to the esthetic plane (Prn-Pog').,"Prn,Pog',UL",-2,2
Ricketts Analysis,Perp,Lower lip to E-plane,Distance from lower lip to the esthetic plane (Prn-Pog').,"Prn,Pog',LL",-2,2
McNamara Analysis,Distance,N-A,Length from Nasion to Point A.,"N,A",1,2
McNamara Analysis,Distance,N-B,Length from Nasion to Point B.,"N,B",4,3
McNamara Analysis,Distance,Co-A,Maxillary length from Condylion to Point A.,"Co,A",90,3
McNamara Analysis,Distance,Co-Pog,Mandibular length from Condylion to Pogonion.,"Co,Pog",130,5
McNamara Analysis,Distance,ANS-Me,Lower facial height from ANS to Menton.,"ANS,Me",65,4
McNamara Analysis,Difference,MMD,Maxillomandibular difference — Co-Pog minus Co-A.,"Co-Pog,Co-A",28,4
McNamara Analysis,Perp,Upper incisor to NA line,Distance from upper incisor tip to the NA line.,"N,A,Is",4,2
McNamara Analysis,Perp,Lower incisor to A-Pog,Distance from lower incisor tip to the A-Pog line.,"A,Pog,Ii",2,2
McNamara Analysis,Distance,PNS-Ad (airway),Distance from PNS to the posterior pharyngeal wall (adenoid).,"PNS,Ad",15,3
Downs Analysis,Angle 4-pt,Facial depth,Angle between FH (Po-Or) and facial plane (N-Pog),"Po,Or,N,Pog",87,3
Downs Analysis,Perp,Convexity,Distance from Point A to the facial plane (N-Pog).,"N,Pog,A",0,5
Downs Analysis,Angle 4-pt,Mandibular plane angle,Angle between FH (Po-Or) and mandibular plane (Go-Me),"Po,Or,Go,Me",22,4
Downs Analysis,Angle 4-pt,Y-axis,Angle between FH (Po-Or) and Y-axis (S-Gn),"Po,Or,S,Gn",59,3
Downs Analysis,Angle 4-pt,AB plane angle,Angle between AB plane (A-B) and Frankfort Horizontal (Po-Or).,"A,B,Po,Or",-5,4
Downs Analysis,Angle 4-pt,Occlusal plane angle,Angle between occlusal plane (APOcc-PPOcc) and FH (Po-Or).,"APOcc,PPOcc,Po,Or",9,4
Downs Analysis,Angle,Angle of convexity,Angle between Point A-Nasion-Pogonion.,"A,N,Pog",0,5
Downs Analysis,Angle 4-pt,Interincisal angle,Angle between upper and lower incisor axes.,"Is,Ia,Ii,Iia",135,5
Bjork Analysis,Angle,S-N-A,"Angle between Sella, Nasion, and Point A","S,N,A",82,2
Bjork Analysis,Angle,S-N-B,"Angle between Sella, Nasion, and Point B","S,N,B",80,2
Bjork Analysis,Angle,A-N-B,"Angle between Point A, Nasion, and Point B","A,N,B",2,2
Bjork Analysis,Angle 4-pt,ML-NSL,Angle between mandibular plane (Go-Me) and nasion-sella line (N-S),"N,S,Go,Me",32,2
Bjork Analysis,Angle 4-pt,NL-NSL,Angle between nasal line (ANS-PNS) and nasion-sella line (N-S),"N,S,ANS,PNS",8,3
Bjork Analysis,Angle 4-pt,Interincisal angle,Angle between upper and lower incisor axes.,"Is,Ia,Ii,Iia",135,5
Bjork Analysis,Angle 4-pt,U1-ML,Angle between upper incisor axis and mandibular plane (Go-Me).,"Is,Ia,Go,Me",65,5
Bjork Analysis,Angle 4-pt,U1-NSL,Angle between upper incisor axis and nasion-sella line (N-S).,"Is,Ia,N,S",105,5
Tweed Analysis,Angle 4-pt,FMA,Frankfort Mandibular Angle,"Po,Or,Go,Me",25,3
Tweed Analysis,Angle 4-pt,FMIA,Angle between FH (Po-Or) and mandibular incisor axis (Ii-Iia).,"Po,Or,Ii,Iia",65,3
Tweed Analysis,Angle 4-pt,IMPA,Angle between mandibular incisor axis (Iia-Ii) and mandibular plane (Go-Me).,"Iia,Ii,Go,Me",90,3
Tweed Analysis,Angle,SNA,Angle between Sella-Nasion-Point A.,"S,N,A",82,2
Tweed Analysis,Angle,SNB,Angle between Sella-Nasion-Point B.,"S,N,B",80,2
Tweed Analysis,Angle,ANB,Angle between Point A-Nasion-Point B.,"A,N,B",2,2
Jarv-Bjork,Angle,N-S-Ar,"Saddle angle","N,S,Ar",123,5
Jarv-Bjork,Angle,S-Ar-Go,"Articular angle","S,Ar,Go",143,6
Jarv-Bjork,Angle,Ar-Go-Me,"Gonial angle","Ar,Go,Me",130,7
Jarv-Bjork,Angle 4-pt,ML-NSL,Angle between mandibular plane (Me-Go) and nasion-sella line (N-S),"N,S,Me,Go",32,2
Jarv-Bjork,Angle 4-pt,NL-NSL,Angle between nasal line (ANS-PNS) and nasion-sella line (N-S),"N,S,ANS,PNS",8,3
Jarv-Bjork,Sum,Björk sum,"Sum of saddle + articular + gonial angles","N-S-Ar,S-Ar-Go,Ar-Go-Me",396,6
Wits Analysis,Projected distance,A-B distance,"Distance between perpendicular projections of Point A and B onto the functional occlusal plane (APOcc-PPOcc).","A,B,APOcc,PPOcc",0,2
General Ceph Analysis,Line,Sella-Nasion line,Reference line connecting Sella to Nasion.,"S,N",,
General Ceph Analysis,Line,Frankfort Horizontal,Reference plane connecting Porion to Orbitale.,"Po,Or",,
General Ceph Analysis,Line,NBa plane,Reference plane connecting Nasion to Basion.,"N,Ba",,
General Ceph Analysis,Line,Mandibular plane,Reference plane connecting Gonion to Menton.,"Go,Me",,
Steiner Analysis,Line,Sella-Nasion line,Reference line connecting Sella to Nasion.,"S,N",,
Ricketts Analysis,Line,Sella-Nasion line,Reference line connecting Sella to Nasion.,"S,N",,
Ricketts Analysis,Line,Frankfort Horizontal,Reference plane connecting Porion to Orbitale.,"Po,Or",,
Ricketts Analysis,Line,Facial plane,Reference plane connecting Nasion to Pogonion.,"N,Pog",,
