Analysis,View,Markup type,Landmark,Definition
General OPG Analysis,OPG,Point,Ag-L - Antegonion (Left),"The deepest point of the antegonial notch on the lower border of the left mandible."
General OPG Analysis,OPG,Point,Ag-R - Antegonion (Right),"The deepest point of the antegonial notch on the lower border of the right mandible."
General OPG Analysis,OPG,Point,Ar-L - Articulare (Left),"The point of intersection of the posterior border of the left condylar neck and the inferior border of the cranial base."
General OPG Analysis,OPG,Point,Ar-R - Articulare (Right),"The point of intersection of the posterior border of the right condylar neck and the inferior border of the cranial base."
General OPG Analysis,OPG,Point,Co-L - Condylion (Left),"The most superior point on the contour of the left mandibular condylar head."
General OPG Analysis,OPG,Point,Co-R - Condylion (Right),"The most superior point on the contour of the right mandibular condylar head."
General OPG Analysis,OPG,Point,Cor-L - Coronoid (Left),"The most superior point of the left coronoid process."
General OPG Analysis,OPG,Point,Cor-R - Coronoid (Right),"The most superior point of the right coronoid process."
General OPG Analysis,OPG,Point,Go-L - Gonion (Left),"The most inferior and posterior point at the angle of the left mandible."
General OPG Analysis,OPG,Point,Go-R - Gonion (Right),"The most inferior and posterior point at the angle of the right mandible."
General OPG Analysis,OPG,Point,MdF-L - Mandibular Foramen (Left),"The geometric center of the left mandibular foramen."
General OPG Analysis,OPG,Point,MdF-R - Mandibular Foramen (Right),"The geometric center of the right mandibular foramen."
General OPG Analysis,OPG,Point,Me - Menton,"The most inferior point on the outline of the mandibular symphysis."
General OPG Analysis,OPG,Point,Mf-L - Mental Foramen (Left),"The geometric center of the left mental foramen."
General OPG Analysis,OPG,Point,Mf-R - Mental Foramen (Right),"The geometric center of the right mental foramen."
General OPG Analysis,OPG,Point,Or-L - Orbitale (Left),"The lowest point on the left infraorbital margin."
General OPG Analysis,OPG,Point,Or-R - Orbitale (Right),"The lowest point on the right infraorbital margin."
General OPG Analysis,OPG,Point,Ptm-L - Pterygomaxillary Fissure (Left),"The lowest point of the teardrop-shaped radiolucency of the pterygomaxillary fissure on the left side."
General OPG Analysis,OPG,Point,Ptm-R - Pterygomaxillary Fissure (Right),"The lowest point of the teardrop-shaped radiolucency of the pterygomaxillary fissure on the right side."
General OPG Analysis,OPG,Point,Sig-L - Sigmoid Notch (Left),"The deepest point of the mandibular (sigmoid) notch between the coronoid process and the condyle on the left side."
General OPG Analysis,OPG,Point,Sig-R - Sigmoid Notch (Right),"The deepest point of the mandibular (sigmoid) notch between the coronoid process and the condyle on the right side."
General Analysis,Multi-view,Point,Inc-L - Incisura Mandibulae (Left),"The deepest point of the mandibular (sigmoid) notch between the coronoid process and the condyle on the left side."
General Analysis,Multi-view,Point,Inc-R - Incisura Mandibulae (Right),"The deepest point of the mandibular (sigmoid) notch between the coronoid process and the condyle on the right side."
