Analysis,View,Markup type,Landmark,Definition
Lateral Photo Analysis,Photo,Point,Tr - Trichion,"The midpoint of the hairline, used as the superior limit of the forehead for facial height proportions."
Lateral Photo Analysis,Photo,Point,G' - Glabella,"The most prominent point of the forehead in the midsagittal plane, above the nasal root."
Lateral Photo Analysis,Photo,Point,N' - Soft tissue nasion,"The deepest point of the soft tissue contour of the nasal root, overlying the frontonasal suture."
Lateral Photo Analysis,Photo,Point,Prn - Pronasale,"The most anterior point of the nasal tip, used for nasal projection and nasofrontal angle assessment."
Lateral Photo Analysis,Photo,Point,Cm - Columella,"The midpoint of the columella base at the inferior border of the nasal septum, defining the nasolabial angle."
Lateral Photo Analysis,Photo,Point,Sn - Subnasale,"The junction of the columella and the upper lip, a key reference for facial height division."
Lateral Photo Analysis,Photo,Point,Ls - Labrale superius,"The most anterior point of the upper lip vermilion border, used for lip protrusion assessment."
Lateral Photo Analysis,Photo,Point,Stms - Stomion superius,"The lowermost point on the vermilion of the upper lip, defining the upper lip height."
Lateral Photo Analysis,Photo,Point,Stmi - Stomion inferius,"The uppermost point on the vermilion of the lower lip, used with Stms for interlabial gap."
Lateral Photo Analysis,Photo,Point,Li - Labrale inferius,"The most anterior point of the lower lip vermilion, used for lower lip protrusion."
Lateral Photo Analysis,Photo,Point,Si - Sublabiale (Sulpion),"The deepest midline point of the labiomental fold, defining the mentolabial angle."
Lateral Photo Analysis,Photo,Point,Pog' - Soft tissue pogonion,"The most anterior point of the soft tissue chin, used for profile convexity evaluation."
Lateral Photo Analysis,Photo,Point,Me' - Soft tissue menton,"The most inferior point of the soft tissue chin, defining the lower limit of facial height."
Lateral Photo Analysis,Photo,Point,TVL-sup - True vertical line (superior),"The superior reference point of the natural head position plumb line (true vertical)."
Lateral Photo Analysis,Photo,Point,TVL-inf - True vertical line (inferior),"The inferior reference point of the natural head position plumb line (true vertical)."
