Analysis,View,Markup type,Landmark,Definition
General SMV Analysis,SMV,Point,Ang-L - Angulare (Left),The point of intersection between the posterior border of the ramus and the inferior border of the mandibular body on the left side.
General SMV Analysis,SMV,Point,Ang-R - Angulare (Right),The point of intersection between the posterior border of the ramus and the inferior border of the mandibular body on the right side.
General SMV Analysis,SMV,Point,ANS - Anterior nasal spine,The tip of the anterior nasal spine in the midline.
General SMV Analysis,SMV,Point,Ba - Basion,The median point of the anterior margin of the foramen magnum.
General SMV Analysis,SMV,Point,CdA-L - Condylion Anterioris (Left),The most anterior point on the contour of the left mandibular condylar head.
General SMV Analysis,SMV,Point,CdA-R - Condylion Anterioris (Right),The most anterior point on the contour of the right mandibular condylar head.
General SMV Analysis,SMV,Point,CdL-L - Condylion Lateral (Left),The most lateral point on the left mandibular condyle.
General SMV Analysis,SMV,Point,CdL-R - Condylion Lateral (Right),The most lateral point on the right mandibular condyle.
General SMV Analysis,SMV,Point,CdM-L - Condylion Medial (Left),The most medial point on the left mandibular condyle.
General SMV Analysis,SMV,Point,CdM-R - Condylion Medial (Right),The most medial point on the right mandibular condyle.
General SMV Analysis,SMV,Point,CdP-L - Condylion Posterioris (Left),The most posterior point on the contour of the left mandibular condylar head.
General SMV Analysis,SMV,Point,CdP-R - Condylion Posterioris (Right),The most posterior point on the contour of the right mandibular condylar head.
General SMV Analysis,SMV,Point,Cg - Crista galli,The most anterior point of the crista galli.
General SMV Analysis,SMV,Point,Cor-L - Coronoid (Left),The most anterior projection of the left coronoid process.
General SMV Analysis,SMV,Point,Cor-R - Coronoid (Right),The most anterior projection of the right coronoid process.
General SMV Analysis,SMV,Point,Go-L - Gonion (Left),The most lateral point at the angle of the left mandible.
General SMV Analysis,SMV,Point,Go-R - Gonion (Right),The most lateral point at the angle of the right mandible.
General SMV Analysis,SMV,Point,Jug-L - Jugale (Left),The intersection of the maxillary tuberosity and zygomatic buttress on the left side.
General SMV Analysis,SMV,Point,Jug-R - Jugale (Right),The intersection of the maxillary tuberosity and zygomatic buttress on the right side.
General SMV Analysis,SMV,Point,L1M - Lower dental midline,The dental midline point of the mandibular central incisors.
General SMV Analysis,SMV,Point,L6-L - Lower first molar (Left),The most prominent lateral point on the buccal surface of the left mandibular first molar.
General SMV Analysis,SMV,Point,L6-R - Lower first molar (Right),The most prominent lateral point on the buccal surface of the right mandibular first molar.
General SMV Analysis,SMV,Point,Ma-L - Mastoid (Left),The most inferior and lateral point of the left mastoid process.
General SMV Analysis,SMV,Point,Ma-R - Mastoid (Right),The most inferior and lateral point of the right mastoid process.
General SMV Analysis,SMV,Point,MCF-L - Middle Cranial Fossa (Left),The most lateral or inferior prominent point on the outline of the left middle cranial fossa.
General SMV Analysis,SMV,Point,MCF-R - Middle Cranial Fossa (Right),The most lateral or inferior prominent point on the outline of the right middle cranial fossa.
General SMV Analysis,SMV,Point,MdABM - Mandibular Apical Base Midline,The geometric midline point of the mandibular apical base in the transverse plane.
General SMV Analysis,SMV,Point,Me - Menton,The most anterior point on the symphysis of the mandible in the SMV projection.
General SMV Analysis,SMV,Point,MxABM - Maxillary Apical Base Midline,The geometric midline point of the maxillary apical base in the transverse plane.
General SMV Analysis,SMV,Point,Od - Odontoid,The most superior point on the tip of the odontoid process (dens) of the second cervical vertebra (axis).
General SMV Analysis,SMV,Point,Op - Opisthion,The median point of the posterior margin of the foramen magnum.
General SMV Analysis,SMV,Point,PCV-L - Posterior Cranial Vault (Left),The most posterior point on the bony outline of the left posterior cranial vault.
General SMV Analysis,SMV,Point,PCV-R - Posterior Cranial Vault (Right),The most posterior point on the bony outline of the right posterior cranial vault.
General SMV Analysis,SMV,Point,Ptm-L - Pterygomaxillary Fissure (Left),The most inferior point of the teardrop-shaped radiolucency representing the pterygomaxillary fissure on the left side.
General SMV Analysis,SMV,Point,Ptm-R - Pterygomaxillary Fissure (Right),The most inferior point of the teardrop-shaped radiolucency representing the pterygomaxillary fissure on the right side.
General SMV Analysis,SMV,Point,Sp-L - Foramen Spinosum (Left),"The center of the left foramen spinosum, often used as a reliable bilateral cranial base reference structure."
General SMV Analysis,SMV,Point,Sp-R - Foramen Spinosum (Right),"The center of the right foramen spinosum, often used as a reliable bilateral cranial base reference structure."
General SMV Analysis,SMV,Point,U1M - Upper dental midline,The dental midline point of the maxillary central incisors.
General SMV Analysis,SMV,Point,U6-L - Upper first molar (Left),The most prominent lateral point on the buccal surface of the left maxillary first molar.
General SMV Analysis,SMV,Point,U6-R - Upper first molar (Right),The most prominent lateral point on the buccal surface of the right maxillary first molar.
General SMV Analysis,SMV,Point,V - Vomer,The most posterior point on the bony nasal septum (vomer).
General SMV Analysis,SMV,Point,ZA-L - Zygomatic Arch (Left),The most lateral point on the left zygomatic arch.
General SMV Analysis,SMV,Point,ZA-R - Zygomatic Arch (Right),The most lateral point on the right zygomatic arch.
